Origin,Category,Employer / programme,Geography,Classification,Salary evidence result,Discovery / verification source,Notes,Source URL
Seed,AI task platform,Remotasks,Remote; country restrictions,Salary source unavailable,Task rates vary,Official platform,Contract task channel; verify Rwanda availability.,https://www.remotasks.com/
Seed,AI data delivery,Sama,East Africa / global,Included — salary evidence,"Nairobi data-annotation company example RWF 170,235–226,980/mo (KES->RWF conversion)",Glassdoor salary database,Entry-level annotation reference only.,https://www.glassdoor.com/Salaries/nairobi-data-annotation-salary-SRCH_IL.0%2C7_IC2896002_KO8%2C23.htm
Seed,Digital services,TELUS Digital AI Community,Global,Salary source unavailable,Project rates vary,Official platform,Flexible AI-data work; eligibility is project-specific.,https://www.telusdigital.com/careers/ai-community
Seed,AI data platform,Appen / CrowdGen,Global,Salary source unavailable,Project rates vary,Official platform,Contract/project work; not employee salary.,https://crowdgen.com/
Seed,AI data platform,OneForma,Global,Salary source unavailable,Project-specific rates,Official platform,Contract/project channel; verify Rwanda per project.,https://www.oneforma.com/jobs/
Seed,AI task platform,Toloka,Global,Salary source unavailable,Task-specific rewards,Official platform,Microtask/contract channel.,https://toloka.ai/tolokers/
Seed,AI operations,Invisible Technologies,Global,Salary source unavailable,No Rwanda-specific comparable pay located,Official careers,AI operations and delivery employer.,https://www.invisible.co/careers
Seed,AI data provider,Surge AI,US-heavy,Salary source unavailable,No Rwanda-specific comparable pay located,Official careers,AI-data employer; geography and role constraints.,https://www.surgehq.ai/careers
Seed,Data platform,Labelbox,Global / US-heavy,Salary source unavailable,No Rwanda-specific comparable pay located,Official careers,Annotation/data-platform scope comparator.,https://labelbox.com/careers/
Seed,Open-source data tooling,HumanSignal,Global,Salary source unavailable,No Rwanda-specific comparable pay located,Official careers,Label Studio ecosystem employer.,https://humansignal.com/careers/
Additional,Digital public services,Irembo,Rwanda,Included — salary evidence,Glassdoor Data Engineer company example ~RWF 2M/mo,Glassdoor + official careers,Small sample; useful company-specific data point.,https://www.glassdoor.com/Salaries/kigali-data-engineer-salary-SRCH_IL.0%2C6_IS6420_KO7%2C20.htm
Additional,Remote talent,Andela,Rwanda / global remote,Included — geography evidence,No public standardized salary,Official support/careers,Rwanda is supported in talent network; rates depend on engagement.,https://www.andela.com/
Additional,AI/data services,CloudFactory,East Africa / global,Included — salary evidence,"Nairobi annotation company example RWF 215,631–238,329/mo (KES->RWF conversion)",Glassdoor,Entry-level outsourcing comparator only.,https://www.glassdoor.com/Salaries/nairobi-data-annotation-salary-SRCH_IL.0%2C7_IC2896002_KO8%2C23.htm
Additional,AI/data services,Sand Technologies,Rwanda / Africa,Salary source unavailable,No public comparable salary located,Official careers search,AI/data/consulting scope comparator.,https://www.sandtech.com/careers
Additional,Technology education,ALX Africa,Rwanda / Africa,Salary source unavailable,No public comparable salary located,Official careers search,Training/operations/technology employer.,https://www.alxafrica.com/careers/
Additional,Agriculture / data operations,One Acre Fund,Rwanda / Africa,Included — salary evidence,Glassdoor company example: Data Analyst ~RWF 578–618K/mo,Glassdoor + official careers,Employee-reported company example; role differs from lead/engineering.,https://www.glassdoor.com/Salaries/kigali-data-engineer-salary-SRCH_IL.0%2C6_IS6420_KO7%2C20.htm
Additional,Aquaculture / operations,Kivu Choice,Rwanda,Salary source unavailable,No public comparable salary located,Official/company careers search,Operations/data role source; monitor.,https://www.kivuchoice.com/
Additional,Fintech / mobility,M-KOPA,East Africa,Salary source unavailable,No Rwanda-specific comparable salary located,Official careers,Regional data/operations employer.,https://m-kopa.com/careers/
Additional,Electric mobility,Spiro,Rwanda / Africa,Salary source unavailable,No public comparable salary located,Official careers,Battery/fleet/technical operations comparator.,https://www.spironet.com/
Additional,Mobility finance,Watu,East Africa,Salary source unavailable,No public comparable salary located,Official careers,"Data, operations and mobility comparator.",https://watuafrica.com/careers/
Additional,Mobility platform,YEGO Mobility,Rwanda,Salary source unavailable,No public comparable salary located,Official/company search,Mobility/data/operations employer.,https://yegomoto.com/
Additional,Mobility platform,SafeMotos,Rwanda,Salary source unavailable,No public comparable salary located,Startup ecosystem search,Historical/current status should be reverified.,https://www.safemotos.com/
Additional,Government technology,Rwanda Information Society Authority (RISA),Rwanda,Included — role/scope evidence,No salary published,Official division page,"AI, robotics, big data, cloud and digital transformation scope.",https://www.risa.gov.rw/divisions-and-units/technology-innovation-division
Additional,Government identity / digital,NIDA Rwanda,Rwanda,Salary source unavailable,No public comparable salary located,Official vacancies search,Public digital-infrastructure employer.,https://www.nida.gov.rw/
Additional,Financial regulator / data,National Bank of Rwanda,Rwanda,Included — salary evidence,Glassdoor Data Scientist company example RWF 2–3M/mo,Glassdoor,Company-level employee-reported data point; role differs.,https://www.glassdoor.com/Salaries/kigali-data-engineer-salary-SRCH_IL.0%2C6_IS6420_KO7%2C20.htm
Additional,University / research,Carnegie Mellon University Africa,Rwanda,Salary source unavailable,No public comparable staff salary located,Official careers,"Research, engineering and programme roles.",https://www.africa.engineering.cmu.edu/about/careers.html
Additional,University / research,University of Rwanda,Rwanda,Included — salary evidence,Glassdoor Project Manager company example ~RWF 580–625K/mo,Glassdoor,Public-university comparator; compensation architecture differs.,https://www.glassdoor.com/Salaries/kigali-project-manager-salary-SRCH_IL.0%2C6_IC3972329_KO7%2C22_P1.htm
Additional,Research / education,AIMS Rwanda,Rwanda,Salary source unavailable,No public comparable salary located,Official careers,AI/data/research programme employer.,https://aims.ac.rw/careers/
Additional,Research / agriculture,Rwanda Institute for Conservation Agriculture,Rwanda,Salary source unavailable,No public comparable salary located,Official careers,"Technical, research and operations roles.",https://rica.rw/
Additional,Language / AI,Digital Umuganda,Rwanda,Salary source unavailable,No public comparable salary located,Official/company search,NLP/AI and digital-services scope comparator.,https://digitalumuganda.com/
Additional,AI policy / innovation,Centre for the Fourth Industrial Revolution Rwanda,Rwanda,Salary source unavailable,No public comparable salary located,Official/program search,AI/data policy and programme scope; not a salary source.,https://www.weforum.org/centres/centre-for-the-fourth-industrial-revolution-rwanda/
Additional,Development / digital,GIZ Rwanda,Rwanda,Salary source unavailable,Public salary not directly comparable,Official careers,Development-project compensation differs from private market.,https://www.giz.de/en/worldwide/332.html
Additional,Policy / delivery,Tony Blair Institute,Rwanda / Africa,Salary source unavailable,No public Rwanda-specific range located,Official careers,Government-delivery/data/programme roles.,https://institute.global/careers
Additional,International NGO,World Vision Rwanda,Rwanda,Salary source unavailable,No public comparable salary located,Official careers,Programme/data/operations roles; NGO structure differs.,https://www.wvi.org/careers
Additional,UN / development,UNDP Rwanda,Rwanda,Screened but not comparable,UN salary scales differ,Official jobs,Keep separate from private-sector benchmarks.,https://jobs.undp.org/
Additional,UN / development,UNICEF Rwanda,Rwanda,Screened but not comparable,UN salary scales differ,Official jobs,Keep separate from private-sector benchmarks.,https://jobs.unicef.org/
Additional,UN / development,WFP Rwanda,Rwanda,Screened but not comparable,UN salary scales differ,Official jobs,Keep separate from private-sector benchmarks.,https://www.wfp.org/careers
Additional,UN / development,UNHCR Rwanda,Rwanda,Screened but not comparable,UN salary scales differ,Official jobs,Keep separate from private-sector benchmarks.,https://www.unhcr.org/careers.html
Additional,Food manufacturing / operations,Africa Improved Foods,Rwanda,Salary source unavailable,No public comparable salary located,Official careers/company search,"Operations, quality, engineering comparator.",https://africaimprovedfoods.com/
Additional,Telecom infrastructure,IHS Towers,Rwanda / Africa,Salary source unavailable,No public Rwanda-specific comparable pay located,Official careers,Infrastructure/technical operations comparator.,https://www.ihstowers.com/careers
Additional,Internet / fibre,CanalBox / GVA Rwanda,Rwanda,Salary source unavailable,No public comparable salary located,Official/company search,Network/field/operations employer.,https://www.canalbox.rw/
Additional,ICT infrastructure,Broadband Systems Corporation,Rwanda,Salary source unavailable,No public comparable salary located,ICT ecosystem search,Infrastructure/data centre/technical operations employer.,https://www.bsc.rw/
Additional,ICT services,AOS Rwanda,Rwanda,Salary source unavailable,No public comparable salary located,ICT ecosystem search,Technology implementation/services comparator.,https://aos.rw/
Additional,Telecom technology,Vanu Rwanda,Rwanda / Africa,Salary source unavailable,No public comparable salary located,Official/company search,Rural connectivity and field engineering comparator.,https://vanu.com/
Additional,Fintech,Flutterwave,Africa / remote,Salary source unavailable,No Rwanda-specific comparable salary located,Official careers,Regional fintech/data employer.,https://flutterwave.com/careers
Additional,Payments,Pesapal,East Africa,Salary source unavailable,No Rwanda-specific comparable salary located,Official careers,Payments/data/operations comparator.,https://www.pesapal.com/careers
Additional,Fintech,Chipper Cash,Africa / remote,Salary source unavailable,No Rwanda-specific comparable salary located,Official careers,Fintech/data employer.,https://www.chippercash.com/careers
Additional,Entrepreneurship / data,Inkomoko,Rwanda / East Africa,Salary source unavailable,No public comparable salary located,Official careers,"Programme, analytics and operations employer.",https://www.inkomoko.com/careers
Additional,Remote consulting / health,YLabs,Remote / Rwanda eligible,Included — contract-rate evidence,"Rwanda evaluation specialist posting advertised RWF 35,134–56,361/hr (USD->RWF conversion)",Secondary vacancy source,"Consultancy comparator, not salaried employment.",https://ylabsglobal.org/careers/
Additional,Health tech,Viebeg,Rwanda / region,Salary source unavailable,No public comparable salary located,Norrsken ecosystem source,Health-tech/data/logistics employer.,https://www.norrsken.org/houses/kigali
Additional,Insurtech / health,Eden Care,Rwanda / Africa,Salary source unavailable,No public comparable salary located,Official/company search,Digital health/insurance technology employer.,https://www.edencaremedical.com/
Additional,Water utility,WASAC Group,Rwanda,Salary source unavailable,Public salary structures not located,Official vacancies,Infrastructure/engineering/operations comparator.,https://www.wasac.rw/
Additional,Energy / infrastructure,KivuWatt / ContourGlobal,Rwanda,Salary source unavailable,No public comparable salary located,Official careers/company search,Energy systems and operations comparator.,https://www.contourglobal.com/
Additional,AI contract work,micro1,Worldwide remote,Included — contract-rate evidence,"RWF 21,959–58,557/hr annotation; RWF 29,279–87,836/hr RLHF; RWF 73,197–146,393/hr domain review (USD->RWF conversion)",Official platform guide,Contract rates; no guaranteed hours.,https://www.micro1.ai/experts-guide/complete-guide-to-ai-training-jobs
Additional,AI contract work,Outlier,Remote; country/project specific,Salary source unavailable,Project rates vary,Official platform,Contract AI-evaluation channel.,https://outlier.ai/
Additional,AI contract work,Mercor,Remote / global expert marketplace,Salary source unavailable,Project-specific expert rates,Official platform,Expert-contract channel; not employee salary.,https://www.mercor.com/
Additional,AI data / robotics,Simbe Robotics,USA / remote,Included — global role-value evidence,"RWF 175,671,600–226,909,150/yr (USD->RWF conversion) for annotation-systems engineer",Secondary listing,Scope comparator only; not Rwanda market.,https://map.rezi.ai/jobs/job/35063087/data-engine-annotation-systems-engineer-at-simbe-robotics
Additional,AI data services,Innodata,Global / US remote,Included — global role-value evidence,"RWF 175,671,600–263,507,400/yr (USD->RWF conversion) robotics data delivery manager",Secondary listing citing employer range,Scope comparator only; not Rwanda market.,https://simplify.jobs/p/505cbe73-379b-4539-9049-85ed69aa1b69/Robotics-Data-Collection-Delivery-Manager
Additional,Robotics data infrastructure,Mecka AI,USA / global operations,Included — global role-value evidence,"RWF 292,786,000–351,343,200/yr (USD->RWF conversion) Head of Operations",Official ATS,Very senior global comparator only.,https://jobs.ashbyhq.com/mecka.ai/078c1cc7-3859-48d6-b0dd-6a78a81e24c4
Additional,Human-data operations,Cartesia,USA / UK / India,Included — global role-value evidence,"RWF 234,228,800–278,146,700/yr (USD->RWF conversion) Human Data Operations Manager",Official ATS,Strong scope comparator; location not comparable.,https://jobs.ashbyhq.com/cartesia/c6fb67f7-076c-4141-82c8-f50214303ec0
Additional,Robotics operations,Marso Robotics,France,Included — global role-value evidence,"RWF 76,281,444–101,708,592/yr (EUR->RWF conversion) robotics operations manager",Official ATS,Operations/testing/data-quality scope comparator.,https://jobs.ashbyhq.com/marsorobotics/82a24efa-3b3e-42e0-9464-ee6a230399d1
Additional,Physical AI platform,Encord,USA / UK,Included — role/scope evidence,"RWF 219,589,500–365,982,500/yr (USD->RWF conversion) Physical AI engineer",Official ATS,Engineering scope is more software-intensive than candidate benchmark.,https://jobs.ashbyhq.com/encord/31e3b444-4b92-49ed-b167-b5ab498bac11/
Additional,Human-data operations,Pareto AI,USA,Included — role/scope evidence,"RWF 329,384,250–402,580,750/yr (USD->RWF conversion) Applied AI Engineer",Official ATS,Global technical scope; not local market.,https://jobs.ashbyhq.com/pareto-ai/4f5fe995-7828-437e-b80c-0132efba1b20/
Additional,Robotics data infrastructure,Dyna Robotics,USA,Included — role/scope evidence,"RWF 263,507,400–395,261,100/yr (USD->RWF conversion) data infrastructure engineer",Official ATS,Engineering-heavy global comparator.,https://jobs.ashbyhq.com/dyna-robotics/43dcc186-62b1-4641-9365-3cb9767fc653/
Additional,Autonomous delivery robotics,Serve Robotics,USA / Canada,Included — role/scope evidence,"RWF 308,889,230–360,126,780/yr (USD->RWF conversion) senior data engineering manager",Official ATS,"Global senior comparator, not Rwanda market.",https://jobs.ashbyhq.com/serverobotics/887ef3a7-3bde-4649-820a-a54b0afc4cf9/
Additional,Fintech / digital services,Mukuru,Africa / Rwanda,Included — role-scope evidence,No public comparable salary located,Official employer careers,Kigali presence and technology roles; compensation described as benchmarked but not numerically disclosed.,https://www.mukuru.com/rw/about-us/careers/
Additional,Software / digital services,MOYOTECH,"Kigali, Rwanda",Included — role-scope evidence,Salary source unavailable,Official employer careers,"Current/recurring software, QA, support, and SAP roles.",https://moyotech.solutions/careers/
Additional,Infrastructure / AI,Imhotep Systems,"Kigali, Rwanda; Africa remote",Included — role-scope evidence,Salary source unavailable,Official employer careers,"Current openings include ML Engineer, Senior Backend Engineer, and Solutions Architect.",https://www.imhotep.systems/careers
Additional,Fleet intelligence / mobility,Izhon Telematics,"Kigali, Rwanda",Included — role-scope evidence,Salary source unavailable,Official employer careers,"Software, data-pipeline, mechanical/field engineering, sensors, and fleet-support roles.",https://izhontelematics.online/careers
Additional,AI / IoT / software,Fluxify,"Kigali, Rwanda",Included — role-scope evidence,Salary source unavailable,Official employer careers,Paid networking/IoT and software-development internships; no current full-time opening shown.,https://www.fluxify.rw/career
Additional,Mining technology / software,SLR Better Mining,"Kigali, Rwanda",Expired,Salary source unavailable,Official Workday vacancy,Associate Software Engineer page; posted more than 30 days before review.,https://slrconsulting.wd103.myworkdayjobs.com/en-US/SLRCareers/job/Associate-Software-Engineer_JR101968
Additional,Data / financial technology,TransUnion Rwanda,"Kigali, Rwanda",Expired,Salary source unavailable,Official Workday vacancy,"Associate Developer, Applications Support; page showed an ended application date.",https://transunion.wd5.myworkdayjobs.com/en-US/TransUnion/job/Associate-Developer--Applications-Support--Rwanda-_19041051-1
Additional,Data-labeling operations,Jijenge Academy / Africa AI,"Nairobi and Nakuru, Kenya",Expired,Published salary evidence,LinkedIn employer posting,"Direct operations-manager title; posting closed; KES 35,000-65,000/month listed.",https://ke.linkedin.com/jobs/view/data-labeling-operations-manager-at-jijenge-academy-2464511575
Additional,AI data annotation,MCI,"Gauteng, South Africa",Included — salary evidence,Published salary evidence,JobLeads employer listing,"Direct AI Data Annotation Lead title; ZAR 600,000-800,000/year listed.",https://www.jobleads.com/za/job/ai-data-annotation-lead-talent-pool--gauteng--ecc6eb011208f211f803ddb9ea868f67b
Additional,Language AI / annotation,CDIAL.AI / Indigenius AI,"Lagos, Nigeria",Expired,Salary source unavailable,LinkedIn employer posting,Direct Data Annotation Lead title; two-month contract with possible extension; posting closed.,https://ng.linkedin.com/jobs/view/data-annotation-lead-at-indigenius-ai-3919810313
Additional,AI data services,Renew Capital,"Kigali, Rwanda",Expired,Salary source unavailable,Startup Jobs listing,Video annotation role; salary not published in reviewed posting.,https://startup.jobs/data-annotator-video-annotation-renew-capital-7206470
Additional,AI data operations,Intelliscan.Africa,Africa / United States,Included — role-scope evidence,Salary source unavailable,Official employer careers,"Public career ladder describes annotator, senior reviewer, evaluator, and operations lead pathways.",https://intelliscan.africa/careers.html
Additional,AI training / freelance data work,OpenTrain AI,Rwanda and East Africa profiles,Included — contract-rate evidence,Public profile rates available; no employer salary,Official public profiles,Rwandan profiles list hourly rates and annotation/QA skills; individual rates are not guaranteed work volume.,https://www.opentrain.ai/profile/wilson-n-6
Additional,AI annotation / data services,Domari,"Kigali, Rwanda",Included — role-scope evidence,Salary source unavailable,Official company site,"Publicly describes annotation, AI training, data collection, teleoperation, 150+ team members, and internship pathway.",https://www.domari.rw/
Additional,Data labeling / video collection,Extreme Networks / CrowdGen Project Coffee,Kenya,Expired,Salary ambiguous; not normalized,Himalayas job listing,"Closed contractor project; page shows a 4k-4k USD field without a clear unit, so it is not used as salary evidence.",https://himalayas.app/companies/jobs-lever/jobs/project-coffee-data-labeling-specialist-kenya
Additional,Frontier AI / human data,Anthropic,"San Francisco, USA",Included — salary evidence,Published salary evidence,Official Greenhouse ATS,"Data Operations Manager, Human Data; $270,000-$365,000/year; visa sponsorship statement on posting.",https://job-boards.greenhouse.io/anthropic/jobs/5238460008
Additional,Foundation AI / human data,Cohere,Global / Canada and US contexts,Included — role-scope evidence,Salary source unavailable,University of Toronto employer board,"Senior Annotation Operations Lead; training, QA, metrics, tooling, vendors, and workforce planning.",https://jobs.entrepreneurs.utoronto.ca/companies/cohere-2-9ccb8fa7-ab53-4f10-9eff-0788c149f4e6/jobs/42830409-senior-annotation-operations-lead-modeling
Additional,Robotics / perception data,Boston Dynamics,"Waltham, USA",Included — salary evidence,Published salary evidence,Dice employer listing,"Atlas Data Operations Annotation Manager; $115,000-$140,000/year; manages Annotation Leads and QA Leads.",https://www.dice.com/job-detail/d25701fc-328d-41ec-86f1-ceb10f22efe1
Additional,Medical robotics / computer vision,Intuitive Surgical,"San Carlos, USA",Included — salary evidence,Published salary evidence,Official employer ATS,Clinical Data Annotation Lead; two US regional base-pay ranges published.,https://careers.intuitive.com/jp/jobs/744000106164745/JOB211935/clinical-data-annotation-lead/
Additional,Humanoid robotics / data infrastructure,1X / Halodi Robotics,"Palo Alto, USA",Included — salary evidence,Published salary evidence in secondary listing,Type One Ventures job board,"AI Research Engineer, Data Infrastructure; $180,000-$250,000/year; robotics data engine and annotation tooling.",https://jobs.type1ventures.com/companies/halodi-robotics/jobs/63214267-ai-research-engineer-data-infrastructure
Additional,Frontier robotics / annotation operations,Physical Intelligence,"San Francisco, USA",Included — salary evidence,Published salary evidence in secondary listing,Index Ventures and Ladders listings,"Data Annotation Lead; scale, quality, training, workforce planning, metrics, vendor mix, and delivery.",https://www.indexventures.com/startup-jobs/physical-intelligence/data-annotation-lead-1/
Additional,Healthcare AI / imaging,Prenuvo,Vancouver / US contexts,Included — role-scope evidence,Salary source unavailable,Official employer careers,Healthcare AI employer with engineering and data roles; current direct salary not found in reviewed page.,https://www.prenuvo.com/careers-at-prenuvo
Additional,Autonomous vehicles / robotics,Tesla,"Draper, USA",Expired,Salary source unavailable,Tesla role mirror,"Supervisor, Data Labeling; direct scope evidence for team metrics, performance management, annotation policy, QA, and engineering collaboration.",https://tesla.veteran-hiring.com/job-detail/supervisor-data-labeling-222018
